context,key
분위기 좋다 오이도 분위기 좋다 자연,1
분위기 깔끔하다 분위기 분위기 뭔가 아늑하다,1
매장 사람 없다,0
인테리어 깔끔하다 웬만하다,1
인테리어 깔끔하다 멋지다,1
인테리어 예사롭다 않다,0
인테리어 굉장하다 마음,1
인테리어 매우 예쁘다,1
인테리어 깔끔하다 느끼다,1
분위기 엄청 조용하다 분위기 좋다 직원,1
분위기 좋다 테일러,1
인테리어 아니다 테이블,0
인테리어 아니다 이며,0
인테리어 딱 깔끔하다,1
매장 내부 깔끔하다,1
인테리어 깔끔하다 가능하다,1
인테리어 괜찮다 곳,1
매장 굉장하다 깔끔하다,1
매장 엄청 깔끔하다,1
인테리어 산뜻하다 깔끔하다 매장 규모 넓다,1
인테리어 밝다 이쁘다 매장 깔끔하다 좋다,1
분위기 좋다 우리,1
분위기 좋다 곳 인테리어 깔끔하다 배곧,1
매장 하다 좋다,1
인테리어 깔끔하다 모던,1
인테리어 예쁘다 방문,1
인테리어 심플 깨끗하다,1
인테리어 좋아지다 블랙,1
분위기 좋다 배곧 인테리어 의자 예쁘다,1
매장 하다 세련되다,1
인테리어 로 모던,1
인테리어 의 세련되다,1
인테리어 끄다 모던,1
인테리어 요 깔끔하다,1
인테리어 깔끔하다 좋다,1
분위기 넘다 좋다,1
인테리어 고급스럽다 크다 매장 넓다 깔끔하다,1
분위기 세련되다 분위기 인테리어 세련되다 느끼다,1
분위기 좋다 실패하다 분위기 좋다 카페 인테리어 고급스럽다 깔끔하다,1
매장 않다 크다,0
분위기 좋다 디저트,1
분위기 좋다 더 분위기 까지 마음,1
인테리어 분위 따뜻하다,1
분위기 좋다 들어오다,1
매장 아담하다 아쥬미들,1
매장 그다지 넓다,1
매장 둘러보다 깔끔하다,1
매장 진짜 넓다,1
분위기 좋다 요 매장 좋다 정보,1
분위기 좋다 시흥 분위기 좋다 인테리어,1
분위기 좋다 크다,1
매장 내부 넓다,1
분위기 좋다 인 매장 내부 아기자기하다,1
분위기 좋다 카페,1
매장 규모 아니다,0
인테리어 예쁘다 데포케,1
인테리어 굉장하다 깔끔하다,1
분위기 한적하다 조용하다 매장 아기자기하다 예쁘다,1
매장 안 인테리어,0
매장 깔끔하다 뻤다,1
인테리어 예쁘다 음식,1
분위기 만들다 굉장하다 분위기 너무 좋다,1
인테리어 엄청 깔끔하다,1
분위기 좋다 우드,1
인테리어 깔끔하다 소품,1
매장 별로 없다,0
매장 너무 귀엽다,1
인테리어 예쁘다 꾸미다,1
분위기 즐기다 좋다 인테리어 너무 예쁘다 매장 더 예쁘다,1
매장 아주 깔끔하다,1
분위기 좋다 카페,1
인테리어 예쁘다 가다,1
분위기 좋다 구십 인테리어 예쁘다 맛 인테리어 편안하다 따뜻하다,1
인테리어 아담하다 매장,1
매장 깔끔하다 쾌적하다,1
인테리어 아니다 되게,0
매장 인테리어 좋다,1
인테리어 정말 이쁘다 인테리어 이쁘다 찍다,1
분위기 좋다 이드,1
인테리어 여성 좋아하다,1
인테리어 중 마음,1
분위기 좋다 까페,1
분위기 귀엽다 벽쪽 매장 에서 이쁘다,1
분위기 넘다 좋다 인테리어 넘다 예쁘다 매장 예쁘다 카페,1
인테리어 오진 않다,0
분위기 너무 좋다 인테리어 굉장하다 인,1
매장 내부 예쁘다,1
분위기 아니다 곳,0
인테리어 예쁘다 편안하다,1
분위기 식기 깨끗하다,1
매장 아니다 넓다,0
매장 예약 못,0
분위기 너무 좋다,1
인테리어 깔끔하다 소품,1
분위기 너무 좋다 분위기 좋다 맛집,1
분위기 아기자기 여뚱,1
인테리어 좋다 빵,1
분위기 너무 좋다 인테리어 되어다 깔끔하다,1
분위기 너무 좋다,1
분위기 좋다 크림소스,1
분위기 따뜻하다 대리석,1
매장 크다 깔끔하다,1
매장 넓다 편,1
매장 오래되다 않다 매장 넓다 않다,0
매장 좁다 않다,0
인테리어 깔끔하다 예쁘다,1
분위기 좋다 돈까스,1
매장 크기 적당하다,1
인테리어 아니다 따뜻하다,0
인테리어 깔끔하다 더 매장 보이다 깔끔하다,1
분위기 라 나쁘다,0
매장 넓다 일반,1
인테리어 거부 없이,0
분위기 이상하다 하으니,0
인테리어 요 아기자기,1
분위기 좋다 직원,1
매장 소소하다 아담하다,1
인테리어 특유 아늑하다,1
매장 넓다 아니다,0
인테리어 깔끔하다 그릇,1
인테리어 풍기다 좋다,1
인테리어 좋다 부대,1
분위기 깔끔하다 넓다,1
분위기 좋다 서울,1
인테리어 이쁘다 가까이,1
분위기 너무 좋다 인테리어 깔끔하다 병원 인테리어 다 좋다,1
분위기 내 좋아하다,1
분위기 예쁘다 불편하다 인테리어 예쁘다 디저트,1
분위기 예쁘다 다기,1
분위기 깔끔하다 이렇다 분위기 요 세련 분위기 좋아하다 분들 인테리어 좋아하다 방문,1
분위기 좋다 카페,1
인테리어 완벽 투명하다,1
인테리어 모던 끄다,1
분위기 모던 하다 분위기 연출 고급스럽다,1
분위기 예쁘다 티라미수 인테리어 예쁘다 아작,1
분위기 트이다 좋다 인테리어 좋다 모던,1
분위기 좋죵 화장실,1
인테리어 들어오다 예쁘다,1
인테리어 너무 예쁘다,1
인테리어 굉장하다 심플,1
분위기 있다 않다,0
인테리어 모던 하,1
분위기 좋다 카페,1
매장 안이 넓다,1
인테리어 모던 보다,1
인테리어 깔끔하다 개다,1
분위기 좋아하다 꼭 인테리어 좋아하다 카메라,1
분위기 카페 만족하다,1
인테리어 좋다 카페,1
인테리어 넘다 예쁘다,1
인테리어 좋다 케이크,1
분위기 좋다 말로,1
분위기 맘 쏙 분위기 넘다 좋다,1
인테리어 이쁘다 돼다,1
분위기 액자 완벽,1
인테리어 예쁘다 메뉴,1
분위기 좋다 저희,1
분위기 조용하다 나누기,1
분위기 좋다 레스토랑,1
분위기 좋다 특히 분위기 좋다 레스토랑,1
매장 아니다 층고,0
분위기 아늑하다 여도 분위기 좋다 레스토랑,1
인테리어 깔끔하다 직원,1
매장 넓다 가능하다,1
분위기 좋다 요 매장 넓다 어둡다,1
분위기 놓이다 예쁘다 매장 넓다 분위기 매장 모던 조명,1
분위기 까지 좋다,1
분위기 내기 좋다 분위기 좋다 왈라비,1
인테리어 깔끔하다 내부,1
매장 잔해 좋다,1
매장 내부 깔끔하다 매장 깔끔하다 좋다,1
매장 내부 조용하다,1
인테리어 매다 깔끔하다,1
매장 깨끗하다 만족스럽다,1
매장 크기 넓다,1
매장 깔끔하다 주방,1
분위기 조용하다 직접,1
인테리어 깔끔하다 느껴지다,1
매장 깔끔하다 일본,1
분위기 깔끔하다 하다,1
매장 깨끗하다 방문,1
매장 안 과,0
매장 있다 넓다,1
매장 넓다 쾌적하다,1
매장 없다 닦다,0
매장 넓다 참고,1
매장 깔끔하다 있다,1
매장 안다 굉장하다,1
매장 아니다 공용,0
인테리어 이쁘다 되어다,1
인테리어 여서 고급스럽다,1
인테리어 고기 훌륭하다,1
분위기 만족하다 것,1
분위기 좋다 오늘,1
분위기 좋다 분 분위기 좋아하다 곳,1
분위기 아늑하다 좋다,1
분위기 짱짱 다양하다,1
인테리어 기대하다 않다,0
분위기 아늑 분위기,1
분위기 고급스럽다 빠지다 분위기 좋다 바베큐,1
인테리어 너무 깔끔하다,1
인테리어 깔끔하다 따뜻하다,1
분위기 예쁘다 맥주,1
매장 에서 따뜻하다,1
인테리어 깔끔하다 인상,1
분위기 따뜻하다 들어가다,1
매장 많다 못,0
매장 깔끔하다 친절하다,1
매장 내부 넓다,1
분위기 따뜻하다 느낌 매장 내부 깔끔하다,1
인테리어 깔끔하다 쾌적하다 매장 내부 넓다,1
인테리어 깔끔하다 청결하다,1
인테리어 고급 지다,1
인테리어 진짜 깔끔하다,1
매장 굉장하다 청결하다,1
매장 깔끔하다 다음,1
분위기 독특하다 랑,1
인테리어 세련되다 매장 매장 깔끔하다 적절하다,1
분위기 맛 좋다,1
인테리어 고급스럽다 느낌,1
인테리어 깔끔하다 있다 매장 넓다 전체,1
매장 고급스럽다 느낌,1
분위기 좋다 곳,1
분위기 굉장하다 깔끔하다,1
인테리어 생각 굉장하다,1
분위기 차다 아담하다,1
분위기 좋다 데,1
분위기 좋다 모시,1
분위기 좋다 맛있다,1
매장 살펴보다 깔끔하다,1
인테리어 깔끔하다 들다,1
분위기 조용하다 밝다,1
인테리어 너무 깔끔하다,1
분위기 따뜻하다 느껴지다 분위기 좋다 카페,1
인테리어 굉장하다 깔끔하다,1
인테리어 소품 깔끔하다 인테리어 깔끔하다 좋다,1
매장 넓다 않다,0
인테리어 귀엽다 병아리 인테리어 맘 커피,1
매장 아담하다 아이스 매장 있다 좋다,1
분위기 차갑다 세련되다,1
분위기 깔끔하다 좌측 인테리어 따뜻하다 분위기,1
인테리어 질리 않다,0
분위기 아늑하다 있다,1
인테리어 따뜻하다 느낌,1
분위기 체적 깔끔하다,1
인테리어 맘 들다,1
매장 안 있다,0
매장 편 아니다,0
인테리어 깔끔하다 와도,1
분위기 국적 깨끗하다,1
인테리어 밝다 깔끔하다,1
인테리어 너무 예쁘다,1
분위기 좋다 그렇다,1
인테리어 쁘 깔끔하다,1
인테리어 예쁘다 있다,1
인테리어 찍다 못,0
매장 쾌적하다 깔끔하다,1
인테리어 쁘 않다,0
매장 넓다 라서,1
인테리어 예쁘다 과,1
인테리어 굉장하다 동남아 인테리어 예쁘다 감성,1
인테리어 모습 고급스럽다,1
분위기 괜찮다 데이트,1
매장 넓다 문제 매장 깔끔하다 분들,1
분위기 예쁘다 서도,1
분위기 좋다 곳 분위기 좋다 음식점,1
인테리어 식기 예쁘다,1
매장 넓다 않다,0
분위기 여서 고급,1
분위기 좋다 않다,0
분위기 따뜻하다 저녁,1
분위기 붐비다 않다,0
분위기 정말 좋다,1
분위기 보이 고급,1
매장 넓다 복층,1
분위기 좋다 곳 분위기 좋다 곳 분위기 좋다 곳 분위기 좋다 곳 분위기 좋다 곳 분위기 좋다 곳 분위기 좋다 곳,1
인테리어 군더더기 깔끔하다,1
인테리어 느낌 만족스럽다,1
분위기 서비스 마음 분위기 좋다 맛 분위기 좋다 곳 매장 넓다 복층,1
분위기 좋아하다 과 인테리어 예쁘다 주변,1
인테리어 답 이쁘다,1
분위기 좋다 나중,1
분위기 너무 좋아하다,1
매장 예쁘다 디저트,1
분위기 하다 좋다 분위기 이쁘다 꾸미다,1
매장 아니다 앉다,0
분위기 좋다 앉다,1
분위기 좋다 시흥,1
인테리어 고급 포인트,1
분위기 좋다 거,1
매장 넓다 분위기,1
인테리어 예쁘다 제 인테리어 좋아하다 요,1
분위기 좋다 레스토랑,1
분위기 깔끔하다 다니다,1
분위기 좋다 맛집,1
인테리어 로 아늑하다,1
분위기 너무 고급,1
인테리어 괜찮다 하다,1
분위기 너무 좋다 인테리어 너무 예쁘다 인테리어 너무 예쁘다,1
인테리어 세련되다 쁜,1
분위기 좋다 식당,1
인테리어 세련되다 블링,1
인테리어 깔끔하다 벽,1
매장 내부 예쁘다,1
분위기 아쥬 고급,1
분위기 너무 좋다 분위기 좋다 지다 분위기 좋다 사진 분위기 좋다 곳,1
분위기 넘다 좋다 분위기 만족 만족,1
분위기 좋다 파스타 분위기 너무 좋다 분위기 진짜 좋다 분위기 좋다 맛,1
분위기 좋다 레스토랑,1
분위기 좋다 배곧 분위기 좋다 배곧,1
분위기 좋다 그 분위기 좋다 데뷰,1
인테리어 보다 좋아하다,1
분위기 좋다 생기다,1
분위기 굉장하다 돼다,1
인테리어 좋아하다 스타일,1
분위기 좋다 맛 인테리어 너무 예쁘다,1
분위기 맛 좋다,1
인테리어 심쿵 자극시키다,1
분위기 내기 좋다,1
분위기 분위기 좋다,1
분위기 맛 좋다,1
분위기 좋다 곳,1
매장 하다 넓다,1
인테리어 독특하다 한번 인테리어 예쁘다 별도,1
인테리어 예쁘다 이다 인테리어 엄청 예쁘다 인테리어 정말 좋다,1
분위기 독특하다 인상,1
분위기 아주 좋다 분위기 좋다 시 매장 넓다 습니다,1
분위기 좋다 배곧 분위기 좋다 배곧 분위기 좋다 배곧 분위기 좋다 배곧 분위기 화사하다 좋다 분위기 좋다 배곧 분위기 좋다 배곧 분위기 좋다 배곧 분위기 좋다 배곧 분위기 좋다 배곧,1
인테리어 예쁘다 나다,1
분위기 좋다 거,1
인테리어 까지 예쁘다,1
인테리어 뿌셨던 독특하다,1
인테리어 좋다 친절하다 매장 넓다 룸,1
분위기 마저 좋다,1
분위기 좋다 식당 인테리어 예쁘다 머쉬룸,1
인테리어 예쁘다 직원,1
분위기 다녀오다 괜찮다 인테리어 엄청 예쁘다,1
인테리어 이쁘다 이야기,1
분위기 예쁘다 즐기다 인테리어 전체 깔끔하다,1
인테리어 예쁘다 같다,1
분위기 핑크 예쁘다 분위기 너무 좋다,1
인테리어 독특하다 예쁘다 인테리어 깔끔하다 세련되다,1
인테리어 넓다 깔끔하다,1
인테리어 요 예쁘다,1
매장 내부 깔끔하다,1
분위기 깡패 녜 분위기 괜찮다 랑,1
분위기 연인 좋다,1
매장 굉장하다 깔끔하다,1
매장 걸어가다 괜찮다,1
매장 안다 깔끔하다,1
인테리어 깔끔하다 청결,1
분위기 좋아하다 모습 분위기 좋다 재 매장 내부 예쁘다,1
인테리어 밝다 세련되다,1
매장 많다 좋다,1
인테리어 깔끔하다 에서도 인테리어 깔끔하다 화사하다,1
인테리어 너무 예쁘다,1
매장 깔끔하다 분위기,1
인테리어 깔끔하다 쁘죠헐,1
분위기 좋다 하다,1
인테리어 깔끔하다 거,1
인테리어 예쁘다 눈뎅,1
분위기 아주 좋다,1
인테리어 아기자기하다 소품,1
분위기 좋다 야경 인테리어 너무 아기자기하다,1
인테리어 예쁘다 외치,1
분위기 맛 최고,1
분위기 아기자기하다 해보다 인테리어 로 아기자기하다,1
분위기 예쁘다 카페,1
분위기 예쁘다 플레 분위기 예쁘다 갈래 매장 분위기 예쁘다 매장 분위기 예쁘다,1
인테리어 너무 예쁘다,1
인테리어 예쁘다 생기다,1
인테리어 너무 예쁘다,1
분위기 좋다 나중,1
인테리어 예쁘다 흔하다,1
인테리어 아기자기 하다,1
인테리어 아기자기 예쁘다,1
인테리어 이쁘다 하다,1
분위기 있다 예쁘다 인테리어 너무 예쁘다,1
분위기 너무 좋다,1
분위기 너무 좋다 분위기 좋다 음식,1
분위기 장난 아니다,0
분위기 좋다 식당,1
분위기 맛있다 최고,1
분위기 예쁘다 배곧 매장 넓다 크다,1
분위기 보이 조용하다 분위기 조용하다 칸막이 분위기 좋다 데이트,1
인테리어 다 만족스럽다,1
분위기 좋다 않다 분위기 좋다 않다,0
매장 안 에는 매장 안 들어오다,0
인테리어 따뜻하다 느낌,1
인테리어 아기자기하다 인테리어,1
분위기 예쁘다 현금,1
분위기 프랜차이즈 아니다 매장 크다 않다,0
인테리어 고급 져서,1
분위기 아기자기하다 조용하다,1
인테리어 자다 고급,1
매장 크다 않다,0
인테리어 너무 예쁘다,1
매장 넓다 딱,1
분위기 까지 좋다,1
매장 내부 아기자기하다,1
인테리어 아기자기하다 평타,1
매장 넓다 오밀조밀,1
분위기 좋다 막히다 인테리어 깔끔깔끔 가보다,1
분위기 너무 좋다 인테리어 예쁘다 뿜뿜,1
인테리어 못 찍다,0
인테리어 예쁘다 이다,1
분위기 너무 따뜻하다,1
인테리어 아니다 되게,0
인테리어 이쁘다 페일에일,1
매장 깔끔하다 예쁘다,1
인테리어 해주다 좋다 매장 따뜻하다 톤,1
분위기 맛 고급스럽다 매장 넓다 편,1
분위기 차다 좋다,1
인테리어 엄청 이쁘다,1
매장 산뜻하다 깔끔하다,1
인테리어 되다 좋다,1
인테리어 아기자기하다 쁘,1
매장 에서 따뜻하다,1
인테리어 깔끔하다 화이트,1
인테리어 굉장하다 자연 매장 아주 깔끔하다,1
인테리어 깔끔하다 오픈,1
인테리어 너무 예쁘다,1
분위기 안옥 포근하다,1
분위기 깨끗하다 들다,1
인테리어 예쁘다 음료,1
분위기 너무 좋다 매장 안다 넓다,1
인테리어 모던 하다,1
인테리어 좋다 대리석,1
분위기 깔끔하다 데이트 분위기 좋다 너무,1
분위기 예쁘다 조명도 매장 분위기 예쁘다,1
매장 내부 굉장하다,1
인테리어 깔끔하다 쓰다,1
매장 넓다 간격,1
인테리어 부터 깔끔하다,1
매장 안 에서,0
인테리어 예쁘다 깔끔하다,1
인테리어 깔끔하다 느껴지다,1
인테리어 깔끔하다 조명도 매장 넓다 그만큼,1
매장 들어오다 굉장하다,1
인테리어 예쁘다 달랫는,1
매장 넓다 환기,1
매장 큼직큼직하다 좋다,1
매장 깔끔하다 매장 매장 예쁘다 깔끔하다,1
매장 안다 깔끔하다,1
인테리어 고급스럽다 느껴지다 매장 예쁘다 깨끗하다 매장 넓다 주류 매장 자체 깔끔하다 매장 넓다 데이트,1
매장 깔끔하다 자다,1
매장 들다 좋다,1
인테리어 제일 깔끔하다,1
인테리어 예쁘다 재료,1
분위기 좋다 곳,1
분위기 너무 깔끔하다 매장 상당하다 넓다,1
분위기 좋다 조명 인테리어 예쁘다 많다,1
분위기 예쁘다 꾸미다,1
인테리어 아니다 인테리어,0
인테리어 고급 지네,1
분위기 서비스 만족도 인테리어 깔끔하다 있다,1
인테리어 오다 깔끔하다,1
매장 굉장하다 수선하다,1
매장 넓다 맞추다 매장 깔끔하다 푸다,1
분위기 아니다 창고,0
매장 메뉴판 깔끔하다,1
인테리어 고급 뻣,1
인테리어 좋다 더라고요 매장 깔끔하다 인테리어,1
매장 내부 깔끔하다,1
매장 넓다 많다,1
인테리어 고급스럽다 편안,1
인테리어 너무 깔끔하다,1
인테리어 세련되다 고급스럽다,1
인테리어 깔끔하다 조명,1
매장 깔끔하다 넓다,1
인테리어 세련되다 모던,1
분위기 좋다 앉다 인테리어 깔끔하다 바닥,1
매장 앞 넓다,1
매장 들어서다 넓다,1
매장 생각 넓다,1
매장 정말 넓다 매장 넓다 회식,1
매장 넓다 많다,1
매장 굉장하다 게,1
인테리어 굉장하다 롭고,1
분위기 너무 좋아하다,1
매장 원목 따뜻하다,1
매장 크다 않다,0
매장 위치 좋다,1
인테리어 깔끔하다 자다,1
매장 위생 굉장하다,1
분위기 고급스럽다 느낌 인테리어 분위기 고급스럽다,1
매장 처럼 고급스럽다,1
매장 찌막 고급,1
분위기 딱 좋다,1
분위기 좋다 맛 인테리어 깔끔하다 같다,1
인테리어 깔끔하다 하다,1
매장 좁다 아니다,0
매장 펴다 깔끔하다 매장 반쪽 넓다,1
매장 찍다 깔끔하다,1
분위기 좋다 고기,1
매장 깔끔하다 직원,1
분위기 좋아하다 이랑은,1
매장 내부 넓다,1
매장 넓다 아주,1
매장 들다 않다,0
분위기 몽글몽 좋다,1
분위기 활기차다 좋다,1
인테리어 깔끔하다 좌석,1
매장 크다 않다 매장 상관없다 별도,0
매장 내부 깔끔하다,1
매장 안이 깔끔하다,1
매장 분위기 좋다,1
매장 먹다 좋아하다,1
매장 안 조그맣다,0
매장 안 키 매장 안 사장,0
매장 굉장하다 요,1
매장 크기 굉장하다,1
매장 에서는 없다,0
인테리어 의 없다,0
매장 안다 넓다,1
매장 크다 않다,0
인테리어 깔끔하다 넘다,1
분위기 가시 않다,0
분위기 좋다 활성화,1
매장 안 착석,0
분위기 좋아하다 가시,1
분위기 굉장 우디,1
분위기 잔잔하다 클래식,1
분위기 카페 좋다,1
인테리어 예쁘다 쿠키,1
인테리어 아늑 따다,1
분위기 너무 좋다,1
분위기 맛 좋다 인테리어 아늑하다 벽면,1
분위기 좋다 맛 인테리어 특이하다 예쁘다,1
분위기 아니다 예쁘다,0
인테리어 모던 끄다,1
인테리어 좋다 요,1
분위기 깔끔하다 들다,1
매장 아기자기하다 소품,1
분위기 너무 좋다 인테리어 아기자기하다 자다,1
분위기 좋다 맛,1
매장 아니다 불편하다,0
인테리어 깔끔하다 요도,1
인테리어 세련되다 화분,1
분위기 괜찮다 구욤,1
분위기 예쁘다 따뜻하다,1
분위기 좋다 곳,1
분위기 너무 좋다,1
인테리어 깔끔하다 예쁘다 매장 넓다 시간,1
분위기 좋다 배곧 분위기 좋다 배곧,1
매장 크다 않다,0
분위기 더욱 좋다,1
인테리어 소품 좋다,1
분위기 고급 카페,1
매장이 넘다 예쁘다,1
인테리어 예쁘다 디저트,1
매장 넘다 깨끗하다,1
인테리어 깔끔하다 아메리카노,1
분위기 너무 좋다,1
좋다 인테리어도,1
매장은 깔끔하다 좋다,1
인테리어에 선인장이 매력 모던한 인테리어에,1
매장 넓다 좋다,1
분위기 좋다 카페가,1
인테리어 예쁘다 맛,1
분위기 좋다  또,1
분위기가 좋다  고기도,1
매장이 깨끗하다 너무너무,1
매장이 깨끗하다 완전,1
매장 깔끔하다 직원분,1
분위기가 너무 좋다,1
분위기가 너무 좋다,1
분위기 좋다  갈릭,1
분위기 좋다 주차,1
분위기 좋다 맛있다,1
분위기가 너무 좋다 인테리어가 깔끔하다 이 좋다  인테리어가,1
분위기 너무 좋다,1
예쁘다 분위기도,1
분위기가 더 좋다 좋다 분위기가,1
분위기가 너무 좋다 좋다 분위기가,1
분위기 좋다 맛있다,1
분위기가 너무 좋다,1
분위기 좋다 맛도,1
좋다 분위기인 아늑하다 인테리어에,1
좋다 인테리어도,1
분위기가 너무 예쁘다,1
좋다 분위기도,1
분위기가 너무 좋다,1
분위기가 너무 좋다,1
좋다 분위기도,1
분위기 좋다 양식집이다,1
분위기 좋다 곳에서,1
분위기 좋다 맛있다,1
분위기 좋다 전복,1
좋다 분위기도,1
분위기가 좋다 특별하다,1
분위기 엄청 좋다,1
분위기 좋다 특별,1
분위기 좋다 자리도,1
분위기 좋다 깔끔하다,1
분위기 좋다 파스타도,1
분위기 완전 좋다,1
분위기 좋다 맛도,1
분위기 엄청 좋다,1
분위기 진짜 좋다,1
좋다  인테리어도 매장이 넓다 각,1
분위기가 너무 좋다,1
분위기가 진짜 좋다,1
분위기 좋다 맛있다,1
좋다  분위기도,1
완벽하다  분위기도,1
분위기 좋다 너무,1
분위기 너무 좋다,1
분위기 넘다 좋다,1
분위기 맛 최고이다,1
분위기로 좋다 시간 깔끔하다 분위기로,1
분위기가 너무 좋다,1
분위기 좋다  굳다,1
분위기 좋다 음식도,1
분위기가 넘다 좋다,1
좋다 분위기도,1
분위기 좋다 이,1
분위기 좋다  직원분들도,1
분위기 모두 좋다,1
분위기 좋다 스테이크,1
인테리어에 분위기 최고 깔끔하다 인테리어에,1
좋다 인테리어랑,1
분위기가 좋다 일,1
분위기 너무 좋다,1
분위기가 너무 좋다,1
분위기 좋다 맛있다,1
분위기 너무 좋다,1
분위기가 너무 좋다,1
분위기 좋다 맛도,1
분위기가 너무 좋다,1
맛있다  분위기짱,1
분위기가 너무 좋다,1
분위기 너무 좋다,1
분위기 짱짱 좋다,1
분위기 좋다 맛집,1
좋다  인테리어도,1
매장 깔끔하다 음식이,1
분위기 좋다 맛있다,1
분위기 너무 좋다,1
분위기가 넘다 좋다,1
분위기가 완전 짱이에요,1
매장이 넘다 예쁘다,1
분위기 좋다 친절하다,1
분위기가 너무 좋다,1
분위기 넘다 좋다,1
분위기 좋다 가격,1
분위기 좋다 맛도,1
분위기가 매우 좋다,1
분위기 좋다 곳에서,1
분위기 진짜 최고,1
분위기는 매우 좋다,1
분위기 좋다 넓다직하다,1
분위기 좋다 음식도,1
분위기 나쁘다 않다,1
분위기 좋다 음식점이,1
분위기 모두 좋다,1
분위기는 좋다 맛은,1
좋다 분위기도,1
좋다 분위기도,1
적당하다 분위기도,1
분위기는 좋다 맛은,1
좋다  분위기도,1
분위기가 정말 좋다,1
분위기 좋다  맛도,1
좋아하다 매장이라,1
분위기 좋다 맛있다,1
분위기 있다 좋다,1
분위기 좋다  테이블,1
분위기가 좋다 느끼다,1
분위기 좋다 맛있다,1
조용하다 분위기도,1
좋다  분위기도,1
분위기 좋다 맛도,1
먹다  분위기짱,1
않다 분위기나,0
분위기 다 좋다,1
매장 시설 깔끔하다,1
매장 넓다 쾌적하다,1
짱 분위기도,1
매장이 넓다 테라스도,1
맛짱 분위기짱,1
분위기 좋다 모든,1
분위기 좋다 맛도,1
분위기 좋다 양도,1
분위기 장난 아니다,0
좋다  매장이,1
좋다  인테리어도,1
깨끗하다 인테리어도,1
분위기가 너무 좋다,1
매장이 멀다 않다,0
좋다 분위기도,1
분위기 좋다 친절까지,1
인테리어와 음악이 좋다,1
좋다 분위기도,1
깔끔하다 분위기도,1
분위기가 좋다 사진,1
분위기 짱짱이에요  음료도,1
좋다 인테리어도,1
독특하다 분위기와,1
분위기가 고급 지고 분위기 좋다 카페 분위기 최고이다  크림,1
분위기가 넘다 좋다,1
인테리어가 너무 깔끔하다,1
고급스럽다 분위기에,1
분위기가 좋다  재방문,1
분위기 좋다 카,1
분위기 너무 깔끔하다,1
인테리어로 더 좋아지다 고급진 인테리어로,1
고급진 분위기도,1
매장 엄청 깔끔하다,1
분위기 좋다 맛도,1
분위기가 좋다 고급진,1
매장이 엄청 깔끔하다,1
모던한 분위기로,1
고급진 분위기도,1
깔끔하다 매장과,1
분위기 엄청 고급스럽다,1
분위기 넘다 세련돼다,1
예쁘다 분위기도,1
분위기가 좋다 좋다 인테리어부터 고급 지고,1
매장이 넓다 너무,1
분위기 좋다  또,1
인테리어가 깔끔하다 취저에요 좋다 인테리어가,1
매장이 넓다 좌석,1
분위기 좋다 곳,1
