context,key
가격 좋다 퀄리티 많다 양파,1
가격 즐기다 있다 가격 부담 고기,0
양념 필요하다 않다,0
적당하다 양념,1
양념 짜지다 않다,0
양으로 승부 많다,1
가격 효율 못 가격 비싸다 맛,0
양하다 많아지다 으로부터,1
양 정말 많다,1
가격 착하다 보다,1
않다 양념,0
아니다 양쪽,0
양 워낙 많다,1
양 많다 놀래다,1
양 정말 많다,1
가격 동일하다 좋다 가격 질 좋다,1
양 진짜 많다,1
가격 저렴 종류,1
가격 만족스럽다 너무 양하다 종류 많다,1
많다 양념,1
가격 부담 적다 가격 부담 적다 가격 부담 적다,0
가격 착하다 직원,1
가격 착하다 드네,1
가격 대비 만족,1
가격 괜찮다 초밥 양하다 괜찮다 괜찮다,1
양 상대 적다,0
양 하다 많이,1
양 적당하다 크기,1
양은 많다 않다 양 자체 적다,0
양 적다 것,0
안 양념,0
양피 버섯 아낌없이,0
양은 안 들다,0
가격 저렴하다 부담,0
양파 별로 안,0
양 많다 않다,0
양 많다 퍼,1
양 아쉽다 맛,0
가격 조금 비싸다,0
양파 느낌 아니다,0
양파 많이 있다,1
양 많다 요,1
가격 있다 느껴지다,0
양 충분하다 것,1
양파 충분하다 들다,1
없다 양갱,0
저렴하다 가격에,1
않다  양도,0
가성비 좋다 듯,1
가격 완전 착하다,1
양이 조금 적다,0
않다 양념도,0
맛있다 가격대도,0
가성비 좋다 분위기가,1
가성비 좋다 맛있다,1
맛있다  가격도,0
양이 살짝 아쉽다,0
가성비 진짜 최고예요,1
좋다 가격도,1
양 많다 직원들,1
가성비 좋다  강추강추,1
좋다 가격도,1
괜찮다 양식집,1
최고의 가성비를,1
좋다 가성비도,1
맛있다  가격도,0
좋다 가격도,1
가성비 좋다 파스타집,1
양은 매우 적다,0
맛있다  가격도,0
좋다  가격도,1
가격 대비 맛있다,0
가격 저렴하다 진짜,1
있다 가격도,0
좋다 가성비도,1
양 많다 줄,1
맛있다  가격도,0
가성비 좋다  개인적으로,1
좋다  가격도,1
가격 좋다  인테리어도,1
가격이 싸다 않다 맛있다  가격이,0
가격 좋다 기,1
가성비가 나쁘다 않다,0
가격이 비싸다 않다,1
가격은 저렴하다 양 좋다  가격은 양 넉넉하다 맛도,1
양 진짜 많다,1
양은 많다  직원도,1
가성비 좋다 맛있다,1
가성비다 좋다  오징어,1
가격 좋다 음식,1
가격 대비 괜찮다,1
가격은 착하다 맛은,1
가성비 최고인 거,1
좋다   가격도,1
양이 엄청 많다,1
가성비 좋다 맛집,1
없다 양도,0
가격이 부담스럽지 않다,1
만족스럽다  가격대도,1
맛있다  가격도,0
양 많다 좋다,1
맛있다 가격도착하고,0
양이 많다 좋다,1
가격 좋다 분위기,1
양이 정말 많다,1
가격 만족 친구,1
있다 가격도,0
가성비 좋다 사이드,1
가성비 너무 좋다요소,1
양이 적다 편도,0
가격에 좋다 고기를 저렴하다 가격에,1
가격 대비 맛있다,0
가성비 좋다  진짜,1
가성비 좋다 음식이,1
가격 대비 맛있다,0
가성비 좋다  소갈비살,1
가격 전부 만족스럽다,1
양이 많다  반찬도,1
있다 가격도,0
좋다  가격도,1
저렴하다 가격에,1
가성비 좋다 맛도,1
가성비 좋다 쾌적하다,1
가성비 좋다  반찬맛도,1
저렴하다 가격에,1
가성비 넘다 좋다,1
가성비가 너무 좋다,1
양이 너무 많다,1
양이 많다 깜놀,1
양이 진짜 많다,1
양은 너무 적다,0
양이 엄청 많다,1
양이 많다 맛있다,1
양이 적다  그래서,0
않다 가격도,0
양은 많다 맛은,1
가격은 비싸다 매장은,0
양이 살짝 아쉽다,0
양이 적다 편이라,0
양 엄청 많다,1
양이 적다 더,0
양이 조금 적다,0
양하다 많다 양도 많다 양도,1
양이 많다 좋다,1
양이 적다 벼,0
양 진짜 많다,1
양 많다 라면,1
가격 대비 괜찮다,1
가격은 조금 있다,0
양이 정말 많다,1
양 많다 맛있다,1
양 많다 맛있다,1
양이 많다 좋다,1
가격대는 있다 맛있다,0
양이 많다 맛있다,1
양이 진짜 많다,1
양이 많다 다음엔,1
양은 그닥 많다,1
양 정말 많이,1
양 많다 요,1
양 많다 자다,1
양이 많다  국물,1
양 진짜 많다,1
저렴하다 가격에,1
양이 많다 않다,0
가격이 저렴하다 것도,1
양 진짜 많다,1
양 많다 맛있다,1
양 많다 국물,1
양 많다 조만간,1
양 많다  맛있다,1
양 많이 주시고,1
넉넉하다 양에,1
양이 엄청 많다,1
양이 엄청 많다,1
양이 진짜 많다,1
양이 엄청 많다,1
가격 대비 만족하다,1
가성비 최고인 듯하다,1
양이 많다 맛,1
양이 많다  해산물이,1
양이 안 차 없다  양이,0
가성비 훌륭하다 맛집,1
양이 많다 남다,1
양이 많다  낙지가,1
양 많다 푸다짐해요,1
없다 가격대도,0
양이 정말 많다,1
가성비 좋다 칼국수가,1
양 많다 푸다짐하다,1
양 엄청 많다,1
양 너무 많다,1
양 많다 맛,1
가성비 좋다 양도,1
양 진짜 많다,1
양이 너무 많다,1
양이 많다 파전,1
양 많다 맛있다,1
양 엄청 많다,1
양이 많다  해물,1
양이 적다 데,0
양이 많다  파전은,1
양이 너무 많다,1
양이 적다 무한리필로,0
양 장난 아니다,0
양이 많다 남을,1
양 많다  칼국수도,1
양이 엄청 많다,1
양이 정말 많다,1
좋다  가격도,1
양 많다 맛있다,1
않다 양이,0
가성비가 최고의 맛집인,1
양 많다 깔끔하다,1
양 엄청 많다,1
양이 많다  또,1
양 많다 배뷸러,1
양이 너무 많다,1
많다 양도,1
가격이 꽤 비싸다,0
양 많다  조개도,1
양이 너무 적다,0
양이 너무 많다,1
양이 많다  해물도,1
양이 많다 배불리,1
양은 좀 작다,0
양이 많다 않다,0
양은 정말 많다,1
양이 너무 많다,1
가격 대비 좋다,1
괜찮다 양이나,1
양이 많다 오랫동안,1
가격에 적당하다 양이다 적당하다 가격에 적당하다 양이다,1
양이 많다  날씨가,1
양은 적당하다  음식,1
양이 많다 남다,1
작다 양은,0
양이 점 적다,0
양이 많다 놀래다,1
양이 충분하다 칼국수,1
양이 너무 많다,1
양이 많다 남기다,1
양은 아주 많다,1
양이 많다 못,0
양이 많다 인원수대로,1
양 적당하다 좋다,1
양 진짜 많다,1
괜찮다 가격에,1
충분하다 양이,1
양이 많다 칼국수는,1
가성비 최고이다  어차피 양이 특별하다 많다,1
양이 너무너무 많다,1
가성비 좋다 배달,1
가성비 너무 좋다,1
가성비 최고엥요 나폴레옹,1
가성비 굿인 맛있다,1
가성비 최고예요  먹기,1
좋다 가성비도,1
가성비 좋다 카페이다,1
좋다 가성비도,1
좋다 가성비도,1
가성비 정말 최고인,1
가성비 좋다 퀄리티는,1
가성비 좋다 검다,1
가격 비싸다 않다 가성비 좋다  재방문,1
가성비 훌륭 하다,1
가성비 좋다  이,1
좋다 가성비도,1
비싸다 가성비가다,1
가성비굿굿굿 크다플 고급지다 맛있다 가성비굿굿굿,1
가격이 너무 착하다,1
가성비가 좋다 매장,1
가성비 좋다 크다플,1
맛있다  가격도,0
양이 많다 맛있다,1
가성비가 좋다  디카페인도,1
양하다 토핑 많다,1
맛있다 가격도,0
양이 많다  가족,1
양이 많다 놀라다,1
양 많다 매장,1
양이 매우 많다,1
가격 대비 맛있다,0
저렴하다 가격도 코스가 가성비굿이라서,1
양 많다 면,1
가성비 좋다  남편,1
않다  양도,0
양 정말 많다,1
양 많다  스끼,1
양 많다 배,1
양이 생각보다 많다,1
양이 생각보다 많다,1
가격은 좀 비싸다 맛있다  가격은,0
양이 너무 많다,1
가성비 좋다  벌써,1
가성비 좋다  맘에,1
가성비 좋다  수제,1
맛있다  가격이,0
있다 가격에 양이 너무 적다,0
좋다 가격도,1
않다 양도,0
괜찮다  가성비로는,1
가성비가 너무 좋다,1
가격이 저렴하다 거,1
가성비 최고의 맛집이다,1
좋다  가격에,1
양이 좀 적다,0
좋다  가격대도,1
맛있다  가격도,0
맛있다  가격이,0
가격은 오르다  맛있다,0
양이 많다 남기다,1
많다 양이이다,1
양두 많다 너무,1
양이 많다 좋다,1
양이 너무 많다,1
양이 매우 많다,1
양이 많다  여기,1
양 많다  성인,1
저렴하다 가격에,1
가격 완전 착하다,1
양이 생각보다 많다,1
가성비 좋다 뷰,1
양이 적다 것이,0
양 많다 맛있다,1
양이 너무 많다,1
없다 양도,0
양 많다 아이들과,1
가격 대비 별로,0
양하다 질리지 않다,0
양이 엄청 많다,1
가격은 살짝 비싸다,0
양으로 많다 부드럽다,1
맛있다  가격도,0
양이 정말 많다,1
양이 많다 남다,1
맛있다  가격은,0
가성비가 좋다 집이라,1
가성비 괜찮다 집,1
가격이 비싸다 생각은,0
괜찮다  양도,1
양이 너무 많다,1
양이 적다 이유가 양이 적다 개인적으로는,0
가격 대비 무난하다,1
가격에 구성이 좋다 저렴하다 가격에,1
양보다 더 많이,1
없다 양도,0
착하다 가격대에,1
가격이 너무 착하다,1
양이 아쉽다 하지만,0
가격이 좀 있다 있다 가격만큼,0
양 진짜 많다음요,1
가격이 비싸다 맛은,0
가격 대비 그닥,0
가격이 비싸다 느낌,0
가성비 좋다 맛집이에요,1
가성비가 넘다 좋다,1
가격 너무 만족하다,1
양이 많다 좋다,1
가성비 정말 좋다,1
양이 적다 보이다,0
가성비 별로 구요,0
양이 정말 많다,1
양이 많다 그리고,1
양이 적다 건 없다  양이,0
가성비 대비 괜찮다,1
양이 장난 아니다,0
양 엄청 많다,1
가성비가 정말 좋다,1
양 많다 거,1
양 많다 맛있다,1
양이 많다 남다,1
양은 엄청 많다,1
가성비 최고에 요,1
양이 넘다 많다,1
양이 좀 많다 양이 많다 포장하다,1
가격 대비 적당하다,1
가성비 대비 최고,1
가성비 좋다 곳이다,1
욤 가성비굿,1
양이 정말 많다,1
가격 대비 좋다,1
양이 너무 많다,1
가격뿐 아니다 양도 아니다 양도,0
양 많다 푸다지다,1
가격은 좀 비싸다,0
좋다 가성비도,1
양념이 자극적이지 않다,0
가성비 없이 먹다,0
양껏 먹기 충분하다,1
가성비 아니다 요짱이에요,0
양념갈비 못 먹다,0
양념 안 되다,0
가격은 좀 비싸다,0
양이 많다 오래,1
가성비 정말 좋다,1
좋다  가성비도,1
맛있다 가격도,0
아니다 양도,0
좋다  가격도,1
양은 넉넉하다 편이에요,1
양이 많다 결국,1
양 많다 맛있다,1
양이 많다 좋다,1
양 많이 주네요,1
양 많다 싱싱,1
양이 엄청 많다,1
양은 많다 가격에,1
가격은 좀 있다,0
맛있다  가격도,0
좋다  가성비다,1
가성비 너무 좋다,1
가격 완전 착하다,1
가격 좋다 선물용으로,1
좋다 가격도,1
가격 착하다 맛있다,0
가격은 저렴하다 맛있다,0
가격까지 저렴 맛있다,0
만족 가격도,1
가성비 좋다 곳,1
가성비 괜찮다 술은,1
양이 너무 작다,0
가성비 최고에 요,1
아쉽다  양도,0
가격 대비 괜찮다,1
가격 착하다 짱,1
가격이 너무 저렴하다,1
가격 비싸다 편인데,0
양 적다 더,0
가성비 좋다  이제,1
양 장난 아니다,0
양이 많다 충분하다,1
양이 너무 많다,1
훌륭하다 가성비로,1
가성비 최고에다가 맛있다,1
양 많다  또,1
가성비가 좋다  추천하다,1
좋다  가격도,1
양도정말 많이 주다,1
가성비 좋다 고,1
적당하다 가격도,1
양이 많다 않다,0
가성비 좋다 많이,1
양이 많다 편은,1
양은 괜찮다 창가,1
가성비 별로 소스,0
양 많다 어디,1
양이 많다 너무 괜찮다 양인,1
비싸다 가성비다,1
양이 작다  치즈,0
가격 대비 만족감이,1
양이 너무 많다,1
양이 너무 많다,1
양이 줄지 않다,0
저렴하다 가격에,1
양이 많다 막판에,1
가성비 좋다 자주,1
양 많이 주다,1
가성비 진짜 좋다,1
양이 너무 적다,0
양이 적다 편이라,0
가성비 너무 좋다,1
양하다 질리지 않다,0
가성비 좋다 자다,1
가성비 넘다 좋다,1
가성비 좋다 초밥과,1
가격 대비 불만족,1
가격 대비 만족하다,1
가성비가 좋다 할인 좋다 가성비가,1
가격 가성비 최고,1
가성비 좋다 초밥지다,1
좋다 가성비도,1
가격 착하다 맛,1
가성비 좋다  초밥,1
양이 진짜 많다,1
가성비 좋다 셀프,1
가격이 저렴하다 좋다,1
좋다 가성비도,1
가격까지 착하다 대다,1
가성비 훌륭하다  초밥,1
양이 많다 거라,1
가성비가 아주 괜찮다,1
양 많다 친절하다,1
않다 양콩,0
저렴하다 가격에,1
가격이나 맛이나 나쁘다,0
저렴하다 가격에,1
없다  양도,0
좋다 가성비도,1
가성비가 아주 좋다 좋다 가성비가,1
가격은 부담되다 않다,1
맛있다 가격도,0
양 많다 맛,1
양은 충분하다 면,1
양이 많다  오랜만에,1
양이 많다  피자가,1
가격 모두 좋다,1
가격 만족스럽다 반려견도,1
양 많다 다,1
가성비 딱 좋다,1
가성비 좋다 맛있다,1
양이 진짜 많다,1
양 많다 맛도,1
양 많다 이,1
양이 많다 둘이,1
가성비 좋다 맛있다,1
가성비 좋다 메뉴들이,1
양이 많다  전,1
가성비 좋다 강아지랑,1
좋다 가성비도,1
양이 많다 많이,1
양이 많이 줄다,1
양이 엄청 많다,1
좋다 가성비도,1
없다  양식은,0
가성비 맛집 최고이다,1
가성비에 비다 괜찮다,1
가격까지 완전 저렴하다,1
저렴하다 가격에,1
양 완전 많다,1
가성비 좋다  인테리어도,1
적당하다 가격에 양 많다 분위기,1
양이 적다 요,0
양념이 많이 묻다,1
별로예요  양도,0
괜찮다  양도,1
가격일 수 있다 부담스럽다 가격일,0
양을 많이 주다,1
가성비 좋다 추천,1
가성비 괜찮다 오빠,1
양이 작다 아쉽다,0
양이 많다 않다,0
가성비 좋다 분위기도,1
양이 좀 작다,0
가성비 굿이다  덮다밥도,1
양이 너무 많다,1
괜찮다 가격도,1
양파 안 들어가다,0
가격이 비싸다 솔직하다,0
가격은 좀 있다,0
가격은 넘다 사악하다 있다 가격은,0
별로예요  가격까지,0
가격이 너무 비싸다 가성비가 아니다 감성비를,0
양 많다 배,1
가성비 좋다 이자,1
가성비 좋다 진짜,1
양하다 든든하다 한상차림 양 엄청 많다 양 많다 너무,1
양이 많다  그리고,1
양이 많다 맛있다,1
맛있다  가격도,0
양이 더 많아욤,1
가격이 너무 비싸다,0
양하다 많다 것,1
가격 대비 맛있다,0
양이 생각보다 많다,1
가격이 조금 높다,0
가격은 약간 비싸다,0
양이 은근히 많다,1
가성비 너무 좋다,1
가성비 따지다 좋다,1
양이 좀 적다,0
양은 생각보다 적다,0
가격 대비 훌륭하다,1
가성비 좋다 마음껏,1
가성비 좋다 고기,1
가성비 좋다 곳,1
가성비 좋다 곳,1
가격 대비 만족도가,1
좋다 가격에,1
양하다 음식들이 많다,1
좋다 가격도,1
좋다 가성비도,1
가격이 조금 비싸다,0
양 많다 서비스,1
가성비 좋다 것,1
있다 가격이,0
좋다 가격도,1
양이 쪼금 적다,0
있다  가격도,0
양이 많다 맛있다,1
양 정말 많다,1
싸다 가격이라고,1
가성비 너무 좋다,1
가격이 더 비싸다,0
가성비다 좋다 스시 가성비 좋다 하다,1
가성비 정말 좋다 양하다 초밥이 많다 양 많다 놀라다,1
가격 대비하다 그닥이다,0
좋다 가격도,1
가성비 좋다 초밥,1
가격 대비 만족하다,1
없다 가격이라,0
가격은 비싸다 않다,1
저렴하다 가격에,1
가격 대비 맛있다,0
가성비 최고네요 앞으로,1
가성비 좋다  남자친구랑,1
가격이라 부담 없이 저렴하다 가격이라 저렴하다 가격에 좋다 가성비도,1
가격 대비 저렴하다,1
양 많다  주의,1
